filename	n_objects	n_categories	categories
mscoco_00000_000000000285.jpg	1	1	bear
mscoco_00001_000000000776.jpg	4	2	teddy bear,bed
mscoco_00002_000000001296.jpg	4	3	person,clock,cell phone
mscoco_00003_000000002149.jpg	2	2	bowl,apple
mscoco_00004_000000002431.jpg	9	6	person,dining table,wine glass,cup,knife,spoon
mscoco_00005_000000002592.jpg	3	3	knife,dining table,cup
mscoco_00006_000000003156.jpg	3	3	sink,person,toilet
mscoco_00007_000000003661.jpg	3	3	banana,cup,keyboard
mscoco_00008_000000004395.jpg	2	2	tie,person
mscoco_00009_000000004795.jpg	3	3	laptop,cat,tv
mscoco_00010_000000006763.jpg	7	5	tie,person,dining table,tv,cell phone
mscoco_00011_000000006894.jpg	2	2	person,elephant
mscoco_00012_000000009448.jpg	2	2	person,umbrella
mscoco_00013_000000009914.jpg	7	5	dining table,knife,bowl,sandwich,hot dog
mscoco_00014_000000010363.jpg	4	4	cat,bicycle,car,bottle
mscoco_00015_000000010583.jpg	4	3	knife,dining table,sandwich
mscoco_00016_000000013004.jpg	2	2	dining table,banana
mscoco_00017_000000014226.jpg	8	5	person,dining table,laptop,apple,chair
mscoco_00018_000000014831.jpg	2	2	bed,cat
mscoco_00019_000000015278.jpg	1	1	broccoli
mscoco_00020_000000015497.jpg	3	3	cat,mouse,couch
mscoco_00021_000000016598.jpg	3	3	tie,person,cell phone
mscoco_00022_000000017207.jpg	5	4	person,car,motorcycle,bus
mscoco_00023_000000018150.jpg	7	5	person,pizza,bottle,backpack,couch
mscoco_00024_000000018380.jpg	54	11	person,dining table,wine glass,cup,fork,knife,spoon,bowl,vase,carrot,chair
mscoco_00025_000000018575.jpg	8	6	dining table,bottle,wine glass,knife,bowl,sandwich
mscoco_00026_000000019402.jpg	3	2	person,pizza
mscoco_00027_000000019786.jpg	6	4	laptop,person,remote,couch
mscoco_00028_000000021167.jpg	4	3	tie,person,wine glass
mscoco_00029_000000021503.jpg	8	4	mouse,remote,keyboard,sandwich
mscoco_00030_000000022623.jpg	1	1	cell phone
mscoco_00031_000000022892.jpg	5	5	potted plant,dining table,cat,dog,chair
mscoco_00032_000000024144.jpg	1	1	pizza
mscoco_00033_000000025096.jpg	6	6	person,dining table,skateboard,knife,zebra,chair
mscoco_00034_000000026465.jpg	6	6	person,laptop,remote,keyboard,cell phone,chair
mscoco_00035_000000027696.jpg	4	4	fork,person,pizza,knife
mscoco_00036_000000028452.jpg	2	2	refrigerator,bottle
mscoco_00037_000000032038.jpg	4	4	person,dining table,pizza,bottle
mscoco_00038_000000035062.jpg	2	2	bed,person
mscoco_00039_000000035279.jpg	9	7	person,laptop,tennis racket,bottle,cell phone,book,handbag
mscoco_00040_000000039769.jpg	6	4	bed,remote,cat,couch
mscoco_00041_000000040757.jpg	3	3	bed,person,tv
mscoco_00042_000000043581.jpg	4	4	fork,knife,dining table,pizza
mscoco_00043_000000044068.jpg	2	2	teddy bear,chair
mscoco_00044_000000046463.jpg	3	3	person,sandwich,oven
